16.72,15.78,239655616,3.79267,26,0.182704,4
16.71,15.64,242963398,-4.42849,19,0.187852,4
16.38,15.6,138428495,-2.47066,12,0.189994,4
16.63,15.82,151379173,1.63831,5,0.185989,4
17.39,16.18,154387761,5.93325,97,0.175029,2
17.48,16.97,114691279,0.230814,90,0.172712,4
17.68,17.28,80023895,-0.632547,83,0.173611,4
17.15,15.96,132981863,-1.76678,76,0.179856,4
16.94,16.13,109493077,-1.36823,69,0.180941,4
16.75,15.42,114332562,-3.31725,62,0.187149,4
16.33,15.43,130374108,1.00313,55,0.18622,4
17.24,16.26,95550392,4.33455,48,0.175541,2
45.6,43.11,45102042,2.44804,89,0.405771,2
46.25,44.01,25913713,4.63801,82,0.389189,2
46.71,44.71,38824728,-0.0651749,75,0.391304,2
46.27,43.42,51427274,-4.7557,68,0.410397,4
44.23,43.15,39501680,-0.70247,61,0.410771,4
46.79,43.88,43746998,6.34668,54,0.385027,2
46.93,45.53,28564910,-1.91728,47,0.395344,4
45.12,43.01,39654146,-3.13752,40,0.413508,4
44.68,42.75,38985037,-0.0228676,33,0.411711,2
45.54,43.53,37613429,0.957592,26,0.406504,2
44.47,42.19,41757526,0.706794,19,0.407516,2
45.61,44.1,30798332,1.87709,12,0.394823,2
70.1,66.0,36258120,4.88284,33,0.605362,2
70.5,68.35,18834664,0.93633,26,0.599401,1
72.99,70.23,29594221,1.15721,19,0.585938,1
72.82,69.0,34929673,-3.2019,12,0.606673,1
71.64,69.12,22770062,3.06093,5,0.5884,2
72.99,71.15,21809411,0.99398,89,0.582201,1
73.04,71.09,15989248,0.467675,82,0.575027,1
74.29,70.0,26258425,-0.0691085,75,0.580913,1
72.9,68.6,27527285,-0.92452,68,0.584958,1
72.5,69.91,25556296,0.0558659,61,0.586265,1
71.23,67.34,29746370,-2.90853,54,0.607815,1
73.5,70.03,24423545,4.33917,47,0.572675,2
14.69,13.8,1453438639,2.88809,54,0.0701754,4
15.25,14.09,760935694,7.62174,47,0.0655738,4
15.16,13.94,982445809,-5.50398,40,0.0701754,4
14.26,13.4,1054415375,-4.5614,33,0.0735294,4
14.47,13.64,757192224,4.23049,26,0.069979,4
14.87,14.35,746465458,1.79187,19,0.0677048,4
14.95,14.69,458423511,-0.13541,12,0.0677966,4
14.52,13.79,712456757,-1.25174,5,0.0704225,4
14.48,13.81,699671790,-1.05116,89,0.0708215,4
14.7,13.92,805210688,1.41044,82,0.069541,4
14.35,13.66,792380862,-1.54278,75,0.0712251,4
14.22,13.32,717678994,-6.05634,68,0.0749625,4
94.81,92.3,24135903,-0.688705,11,0.469433,1
94.7,92.51,19707235,0.858277,4,0.468035,1
96.8,92.37,28651009,-1.49745,89,0.474394,1
97.79,92.51,34929068,3.20354,82,0.459866,1
99.72,95.85,31169285,3.59929,75,0.441811,1
103.55,98.75,27632394,3.93495,68,0.424957,1
105.86,102.01,16331886,2.22093,61,0.415643,1
105.3,98.03,28146727,-2.72745,54,0.431373,1
104.43,99.35,29851515,0.311526,47,0.427019,1
104.45,97.01,38614049,-3.28757,40,0.439912,1
105.64,98.55,54195667,2.40764,33,0.418808,1
110.15,105.64,37837456,2.04864,26,0.403337,1
21.0,20.38,303545878,2.54279,81,0.286123,4
21.23,20.7,154708263,1.2894,74,0.282885,4
21.33,20.5,193706863,-2.35627,67,0.289575,4
21.61,20.73,265687272,0.431862,60,0.28667,4
22.15,20.71,236334561,5.35117,53,0.272109,2
22.34,18.61,1000362015,-15.4229,46,0.320856,4
18.95,18.56,390258123,0.0530786,39,0.318302,4
18.74,18.23,285212201,-0.480513,32,0.321888,4
18.79,18.31,302059981,-1.18153,25,0.326087,4
18.37,17.76,311209442,-2.23312,18,0.334262,4
17.88,16.97,444161658,-3.76193,11,0.350058,4
17.64,17.2,284574143,-0.346021,4,0.347222,4
92.48,90.27,35556288,-0.512765,38,0.78956,1
92.85,90.12,28260512,2.06707,31,0.775611,1
93.94,91.58,27752622,0.903809,24,0.767754,1
94.97,92.93,42303108,-0.55384,17,0.771126,1
97.44,93.37,48766293,3.47363,10,0.741427,1
98.23,95.7,38838595,-0.853207,3,0.746501,1
98.72,95.5,28037827,3.37173,89,0.739465,1
103.94,99.23,57897831,2.89227,82,0.714985,1
104.99,102.18,48214502,1.43723,75,0.703614,1
104.77,97.6,43673568,-4.0242,68,0.730511,1
103.97,97.98,56186791,3.67084,61,0.710117,1
107.01,103.2,39606692,2.81148,54,0.683649,1
50.54,49.28,27658789,-0.579421,35,0.823955,3
49.8,47.2,34546875,3.10559,28,0.823293,2
50.14,47.65,25611091,-2.38239,21,0.847983,3
50.66,48.26,45429653,3.81916,14,0.815271,2
52.63,50.09,31069977,4.74576,7,0.780506,2
54.75,52.51,37155830,3.72482,0,0.751191,2
55.98,53.8,27705910,2.8288,82,0.732404,2
55.3,52.36,33190716,-1.60146,75,0.758276,3
54.95,52.76,32958368,-0.645518,68,0.761092,3
54.49,51.82,27091813,-2.21811,61,0.775047,3
53.5,51.1,39779608,-0.357277,54,0.773731,3
54.64,52.89,24464568,0.557621,47,0.757856,2
40.0,37.62,72917621,4.531,336,1.01394,3
39.81,38.92,31943413,0.717765,329,1.01807,3
39.94,38.51,36187032,1.71487,322,1.00654,3
39.95,38.65,42131642,-1.99294,315,1.0296,3
40.77,38.64,53521486,4.27766,308,0.98256,3
44.05,40.71,83975520,6.39706,301,0.921447,3
43.9,42.98,33868302,0.85668,294,0.918274,3
43.28,41.6,56966763,0.280177,287,0.931315,3
44.34,42.97,53096584,1.23199,280,0.918484,3
43.61,42.16,41229388,-1.37836,273,0.931749,3
42.67,40.42,65060004,-3.30675,266,0.970167,3
